Index	EXG0	EXG1	EXG2	EXG3	Accel_X	Accel_Y	Accel_Z	Timestamp	Marker
139	-1514.8689	-1300.4081	-1483.7529	-1382.7457	0	0	0	1784008771364	0
140	-1513.9115	-1302.3229	-1484.2317	-1383.7031	0	0	0	1784008771483	0
141	-1514.6295	-1310.9397	-1484.4711	-1369.5813	0	0	0	1784008771638	0
142	-1246.7928	-1273.8398	-1445.4564	-1149.8547	0	0	0	1784008772039	0
143	-1248.2290	-1290.5946	-1466.9982	-1177.1410	0	0	0	1784008772530	0
144	-1257.5638	-1258.9999	-1452.3976	-1182.4067	0	0	0	1784008772691	0
145	-1255.6489	-1267.1380	-1446.4138	-1187.9119	0	0	0	1784008772778	0
146	-1245.5961	-1257.0851	-1433.2494	-1189.8268	0	0	0	1784008772849	0
147	-1061.0544	-1536.1714	-1689.1183	-724.2840	0	0	0	1784008773087	0
148	-1071.5860	-1510.3212	-1673.7997	-756.1180	0	0	0	1784008773528	0
149	-1074.2190	-1500.7471	-1663.9862	-764.7347	0	0	0	1784008773676	0
150	-1068.9531	-1525.8792	-1673.0817	-761.6232	0	0	0	1784008773697	0
151	-1079.0060	-1511.7573	-1666.3798	-768.0857	0	0	0	1784008773854	0
152	-1088.1014	-1530.1875	-1684.3313	-784.1224	0	0	0	1784008773946	0
153	-1213.0441	-1645.0773	-1784.1417	-759.7083	0	0	0	1784008774028	0
154	-1215.9163	-1659.6779	-1795.1520	-754.9213	0	0	0	1784008774092	0
155	-1222.8575	-1657.0449	-1796.3488	-758.9902	0	0	0	1784008774191	0
156	-1212.8047	-1651.7792	-1796.1094	-750.6128	0	0	0	1784008774214	0
157	-1214.9589	-1649.8644	-1804.9655	-753.7245	0	0	0	1784008774354	0
158	-1206.3422	-1646.7528	-1792.7584	-749.6555	0	0	0	1784008774497	0
159	-1205.1454	-1672.8423	-1821.7202	-734.8156	0	0	0	1784008774661	0
160	-1185.2790	-1680.9803	-1810.4706	-713.7524	0	0	0	1784008774824	0
161	-1178.3378	-1683.3739	-1815.4971	-712.7950	0	0	0	1784008774941	0
162	-1493.3271	-1444.7383	-1610.1316	-1208.9750	0	0	0	1784008775106	0
163	-1472.7427	-1447.3712	-1605.8232	-1189.1086	0	0	0	1784008775149	0
164	-1472.7427	-1449.0466	-1600.5575	-1202.2731	0	0	0	1784008775197	0
165	-1469.3917	-1444.0203	-1614.2007	-1183.8429	0	0	0	1784008775293	0
166	-1467.7163	-1456.9453	-1610.3710	-1184.5609	0	0	0	1784008775338	0
167	-1471.5459	-1469.3917	-1622.5780	-1179.5345	0	0	0	1784008775511	0
168	-1462.9292	-1471.5459	-1630.4767	-1161.8224	0	0	0	1784008775650	0
169	-1443.5415	-1450.7222	-1620.9026	-1149.3760	0	0	0	1784008775768	0
170	-1452.8763	-1484.9497	-1641.2476	-1132.3818	0	0	0	1784008775962	0
171	-1377.2406	-1172.8326	-1370.0599	-1385.1393	0	0	0	1784008776028	0
172	-1376.5226	-1164.2160	-1343.4917	-1396.3889	0	0	0	1784008776182	0
173	-1383.4637	-1160.3862	-1368.8633	-1394.9528	0	0	0	1784008776349	0
174	-1391.8412	-1175.9442	-1369.1025	-1416.7339	0	0	0	1784008776382	0
175	-1388.0115	-1107.0104	-1306.6313	-1402.1334	0	0	0	1784008776462	0
176	-1401.1759	-1148.6580	-1351.3904	-1417.6914	0	0	0	1784008776586	0
177	-1410.7501	-1152.0089	-1352.1085	-1428.2229	0	0	0	1784008776638	0
178	-1392.5592	-1146.2644	-1351.1510	-1415.7765	0	0	0	1784008776780	0
179	-1393.5166	-1166.8488	-1351.1510	-1412.6649	0	0	0	1784008776829	0
180	-1394.2347	-1148.8972	-1339.6621	-1428.7017	0	0	0	1784008776942	0
181	-1399.9792	-1160.1469	-1355.6987	-1424.8720	0	0	0	1784008776995	0
182	-1150.3334	-1378.9160	-1547.8997	-949.0370	0	0	0	1784008777160	0
183	-1140.5199	-1370.2993	-1533.2992	-950.4731	0	0	0	1784008777239	0
184	-1138.8444	-1378.1980	-1545.7455	-951.4305	0	0	0	1784008777287	0
185	-1126.6373	-1188.6300	-1394.4740	-938.9842	0	0	0	1784008777432	0
186	-1113.9517	-1189.1086	-1389.9264	-939.9416	0	0	0	1784008777475	0
187	-1141.2379	-1420.3242	-1588.8292	-992.5994	0	0	0	1784008777584	0
188	-1135.7328	-1403.0908	-1579.9731	-997.3864	0	0	0	1784008777703	0
189	-1146.2644	-1395.9102	-1545.0275	-996.4290	0	0	0	1784008777829	0
190	-1140.5199	-1375.5651	-1548.8572	-1000.0194	0	0	0	1784008777880	0
191	-1050.5230	-1626.1683	-1779.3546	-629.0212	0	0	0	1784008778116	0
192	-1044.5391	-1629.7587	-1768.1050	-617.0536	0	0	0	1784008778162	0
193	-1071.3467	-1660.6353	-1811.6674	-648.4089	0	0	0	1784008778233	0
194	-1056.9855	-1618.2697	-1759.0096	-656.7862	0	0	0	1784008778409	0
195	-1053.3951	-1630.2373	-1776.4824	-651.7598	0	0	0	1784008778433	0
196	-1051.7197	-1559.1493	-1697.2563	-631.4148	0	0	0	1784008778518	0
197	-1059.6184	-1612.0465	-1759.0096	-666.1210	0	0	0	1784008778649	0
198	-1054.3525	-1606.0626	-1751.8290	-665.1636	0	0	0	1784008778676	0
199	-1058.6610	-1601.7543	-1773.6101	-675.4559	0	0	0	1784008778778	0
200	-1048.1294	-1587.8717	-1752.3077	-665.8817	0	0	0	1784008778837	0
201	-1043.5817	-1568.4841	-1719.0375	-666.8391	0	0	0	1784008778957	0
202	-1333.6782	-1595.5311	-1748.9568	-913.3733	0	0	0	1784008779085	0
203	-1342.5343	-1618.2697	-1780.0728	-910.7404	0	0	0	1784008779123	0
204	-1234.8252	-1548.1390	-1691.2725	-713.9918	0	0	0	1784008779411	0
205	-678.8068	-1176.9016	-1325.3009	-572.7731	0	0	0	1784008779447	0
206	-1047.1720	-582.8260	-855.4498	-1862.1710	0	0	0	1784008779603	0
207	-1387.0541	-482.2975	-807.8184	-2435.9016	0	0	0	1784008779722	0
208	-1425.3507	-332.2228	-658.7011	-2677.1700	0	0	0	1784008779853	0
209	-1360.7252	-310.6810	-621.8406	-2497.1760	0	0	0	1784008779889	0
210	-1490.2155	-359.0304	-703.4602	-2612.7840	0	0	0	1784008779975	0
211	-1518.6986	-361.4239	-694.6041	-2662.5693	0	0	0	1784008780004	0
212	433.4694	-2251.1206	-2230.2969	1583.5634	0	0	0	1784008780057	0
213	480.1433	-2225.7490	-2205.6433	1689.5970	0	0	0	1784008780086	0
214	36.8605	-2659.6973	-2628.5813	1483.5135	0	0	0	1784008780199	0
215	-26.5682	-2678.8455	-2659.9365	1438.5151	0	0	0	1784008780244	0
216	-903.5598	-3241.0872	-3156.5952	1151.5302	0	0	0	1784008781133	0
217	-839.4131	-3119.4954	-3055.1094	1270.2495	0	0	0	1784008781248	0
218	-652.4779	-2708.5254	-2679.5635	1032.3320	0	0	0	1784008781385	0
219	-451.4209	-2485.6870	-2461.9912	1403.3302	0	0	0	1784008781462	0
220	-379.3755	-2611.3477	-2584.3008	1570.3989	0	0	0	1784008781494	0
221	-417.9114	-2727.1948	-2694.8820	1674.7571	0	0	0	1784008781540	0
222	-351.3711	-2746.3433	-2728.3916	1596.9672	0	0	0	1784008781568	0
223	-668.7540	-2494.3040	-2486.1658	846.1150	0	0	0	1784008781686	0
224	-855.2104	-2412.9236	-2442.3640	460.5163	0	0	0	1784008781820	0
225	-357.8336	-2736.2903	-2692.2493	1433.4886	0	0	0	1784008781971	0
226	-2067.5364	-1158.2320	-1416.7339	-2515.3670	0	0	0	1784008782112	0
227	-1344.2098	-1214.4801	-1407.8778	-1472.0247	0	0	0	1784008782449	0
228	-1288.4404	-1253.2555	-1432.5312	-1393.5166	0	0	0	1784008782512	0
229	-1371.4961	-1234.8252	-1415.2979	-1448.3286	0	0	0	1784008782562	0
